expName,subject,condition,abs_td_dist,bias_to_distr_corr,is_outlier
Fischer_Whitney_2014b,1,orientation,82.0,3.3664404593909154,0
Fischer_Whitney_2014b,1,orientation,16.0,-2.3486917278897437,0
Fischer_Whitney_2014b,1,orientation,22.0,6.562659837386207,0
Fischer_Whitney_2014b,1,orientation,47.0,4.987810865958764,0
Fischer_Whitney_2014b,1,orientation,37.0,-1.1662333933713995,0
Fischer_Whitney_2014b,1,orientation,73.0,-2.162767804478264,0
Fischer_Whitney_2014b,1,orientation,1.0,3.614615042696343,0
Fischer_Whitney_2014b,1,orientation,5.0,2.0380332579359646,0
Fischer_Whitney_2014b,1,orientation,13.0,9.329169132363148,0
Fischer_Whitney_2014b,1,orientation,71.0,-5.330508007287605,0
Fischer_Whitney_2014b,1,orientation,55.0,-0.15406923006779039,0
Fischer_Whitney_2014b,1,orientation,65.0,0.6392012349137701,0
Fischer_Whitney_2014b,1,orientation,52.0,2.162767804478264,0
Fischer_Whitney_2014b,1,orientation,41.0,-4.474936291109955,0
Fischer_Whitney_2014b,1,orientation,65.0,4.866130004263482,0
Fischer_Whitney_2014b,1,orientation,35.0,18.438955264665452,0
Fischer_Whitney_2014b,1,orientation,61.0,8.339581395482952,0
Fischer_Whitney_2014b,1,orientation,15.0,11.949342852826817,0
Fischer_Whitney_2014b,1,orientation,85.0,4.673515767589606,0
Fischer_Whitney_2014b,1,orientation,70.0,6.883031307949452,0
Fischer_Whitney_2014b,1,orientation,67.0,-4.562659837386207,0
Fischer_Whitney_2014b,1,orientation,53.0,-2.502852626181607,0
Fischer_Whitney_2014b,1,orientation,17.0,-5.38641618861152,0
Fischer_Whitney_2014b,1,orientation,27.0,1.1040854228461967,0
Fischer_Whitney_2014b,1,orientation,1.0,-5.33907663920975,0
Fischer_Whitney_2014b,1,orientation,33.0,-1.0717179423857601,0
Fischer_Whitney_2014b,1,orientation,54.0,2.628542004829498,0
Fischer_Whitney_2014b,1,orientation,24.0,-0.921552487040799,0
Fischer_Whitney_2014b,1,orientation,85.0,0.5626598373862066,0
Fischer_Whitney_2014b,1,orientation,82.0,-5.491845077761894,0
Fischer_Whitney_2014b,1,orientation,79.0,-3.0720508753970392,0
Fischer_Whitney_2014b,1,orientation,11.0,1.9156858551716596,0
Fischer_Whitney_2014b,1,orientation,45.0,2.411241702670523,0
Fischer_Whitney_2014b,1,orientation,4.0,-1.1138401403713232,0
Fischer_Whitney_2014b,1,orientation,70.0,0.10791156259226398,0
Fischer_Whitney_2014b,1,orientation,73.0,9.801970031287567,0
Fischer_Whitney_2014b,1,orientation,42.0,-0.570285329322175,0
Fischer_Whitney_2014b,1,orientation,23.0,7.684707453958481,0
Fischer_Whitney_2014b,1,orientation,47.0,4.508154922238106,0
Fischer_Whitney_2014b,1,orientation,83.0,0.6528312841348765,0
Fischer_Whitney_2014b,1,orientation,66.0,-11.92828205761424,0
Fischer_Whitney_2014b,1,orientation,44.0,-2.180882483584753,0
Fischer_Whitney_2014b,1,orientation,54.0,-6.846790271996852,0
Fischer_Whitney_2014b,1,orientation,10.0,-0.9374535723622159,0
Fischer_Whitney_2014b,1,orientation,13.0,8.463001330679873,0
Fischer_Whitney_2014b,1,orientation,36.0,0.5208219120337532,0
Fischer_Whitney_2014b,1,orientation,56.0,-0.570285329322175,0
Fischer_Whitney_2014b,1,orientation,59.0,2.6528312841348765,0
Fischer_Whitney_2014b,1,orientation,69.0,-2.058883062264556,0
Fischer_Whitney_2014b,1,orientation,26.0,6.1662333933713995,0
Fischer_Whitney_2014b,1,orientation,79.0,-5.731069108332207,0
Fischer_Whitney_2014b,1,orientation,67.0,7.378723822140927,0
Fischer_Whitney_2014b,1,orientation,24.0,0.00479931461514127,0
