expName,subject_exp,noise,cue_n_label,abs_td_dist,bias_to_distr_corr,is_outlier
color_2,S10.color.2,low - low,First report,83.08,-15.2005392077087,0.0
color_2,S10.color.2,low - low,First report,101.04,1.98301401451979,0.0
color_2,S10.color.2,low - low,First report,131.46,-6.83105968850174,0.0
color_2,S10.color.2,high - high,First report,164.39,13.526324718779,0.0
color_2,S10.color.2,low - high,First report,162.23,-5.81311284233219,0.0
color_2,S10.color.2,low - low,First report,168.72,4.60628009813168,0.0
color_2,S10.color.2,high - high,First report,104.91,23.3532789038571,0.0
color_2,S10.color.2,high - low,First report,35.06,-4.41586298862586,0.0
color_2,S10.color.2,high - high,First report,171.67,-10.4466626633593,0.0
color_2,S10.color.2,low - high,First report,1.16999999999998,-2.47859030284499,0.0
color_2,S10.color.2,high - low,First report,136.94,2.12287263372103,0.0
color_2,S10.color.2,low - high,First report,50.12,-24.7939602830075,0.0
color_2,S10.color.2,low - low,First report,12.6,16.451665360583,0.0
color_2,S10.color.2,high - high,First report,109.76,-71.372913838937,1.0
color_2,S10.color.2,high - low,First report,133.56,9.6300043143181,0.0
color_2,S10.color.2,high - low,First report,4.21999999999999,5.73705117197511,0.0
color_2,S10.color.2,low - high,First report,61.66,-5.43438144310372,0.0
color_2,S10.color.2,high - low,First report,124.6,-4.33252609325663,0.0
color_2,S10.color.2,low - high,First report,176.38,-16.3939690504793,0.0
color_2,S10.color.2,high - low,First report,78.34,-35.233345401601,1.0
color_2,S10.color.2,high - low,First report,60.15,-10.8544034342175,0.0
color_2,S10.color.2,high - low,First report,20.34,12.2743534357343,0.0
color_2,S10.color.2,high - low,First report,166.86,-3.88558050682583,0.0
color_2,S10.color.2,low - low,First report,120.76,0.710652279650258,0.0
color_2,S10.color.2,low - high,First report,65.58,-11.946079381416,0.0
color_2,S10.color.2,low - low,First report,17.9100000000001,0.869624538429754,0.0
color_2,S10.color.2,low - high,First report,1.95000000000001,9.57997826661316,0.0
color_2,S10.color.2,low - low,First report,41.2099999999999,-51.0898172564535,1.0
color_2,S10.color.2,high - low,First report,175.73,-16.9108632063098,0.0
color_2,S10.color.2,low - low,First report,63.8,-12.0812089364252,0.0
color_2,S10.color.2,high - low,First report,171.31,-20.4620024864977,0.0
color_2,S10.color.2,high - high,First report,143.28,21.8496965138824,0.0
color_2,S10.color.2,low - high,First report,156.49,1.56940799051727,0.0
color_2,S10.color.2,low - high,First report,3.99000000000001,3.06217880346569,0.0
color_2,S10.color.2,low - low,First report,161.1,-4.57722709082964,0.0
color_2,S10.color.2,high - low,First report,156.25,-11.5042755464124,0.0
color_2,S10.color.2,low - low,First report,123.02,-10.9047326740194,0.0
color_2,S10.color.2,low - high,First report,136.64,-5.75781377032421,0.0
color_2,S10.color.2,high - high,First report,41.2,-30.7589382856827,0.0
color_2,S10.color.2,low - high,First report,62.19,-20.2468136435221,0.0
color_2,S10.color.2,low - low,First report,9.87,18.9765950082569,0.0
color_2,S10.color.2,low - low,First report,51.96,6.78458159378752,0.0
color_2,S10.color.2,low - low,First report,76.53,-2.96364814047843,0.0
color_2,S10.color.2,low - low,First report,174.79,3.80884515041546,0.0
color_2,S10.color.2,high - high,First report,16.47,40.2333882428364,0.0
color_2,S10.color.2,low - low,First report,79.46,-5.28831565346329,0.0
color_2,S10.color.2,low - low,First report,40.66,-22.6264182019998,0.0
color_2,S10.color.2,low - high,First report,25.17,-1.31109476516731,0.0
color_2,S10.color.2,high - high,First report,3.28,-12.6399687743624,0.0
color_2,S10.color.2,high - high,First report,117.39,-13.1175965976647,0.0
color_2,S10.color.2,high - low,First report,109.79,1.42766080246398,0.0
color_2,S10.color.2,low - high,First report,91.05,4.74798279230894,0.0
color_2,S10.color.2,high - low,First report,88.97,5.50823929621927,0.0
color_2,S10.color.2,high - high,First report,63.73,-5.48764778089802,0.0
color_2,S10.color.2,low - low,First report,49.02,-1.9759261909242,0.0
color_2,S10.color.2,low - low,First report,10.36,1.45895748661005,0.0
color_2,S10.color.2,high - high,First report,179.17,-3.85990705821503,0.0
color_2,S10.color.2,low - high,First report,132.8,6.5735249467188,0.0
color_2,S10.color.2,high - high,First report,45.61,-5.26285981728863,0.0
color_2,S10.color.2,high - low,First report,139.39,-8.31044391206882,0.0
color_2,S10.color.2,high - low,First report,166.61,-13.7087388817416,0.0
color_2,S10.color.2,low - high,First report,176.91,-1.18723872209315,0.0
color_2,S10.color.2,high - low,First report,12.91,8.58564770877848,0.0
color_2,S10.color.2,low - low,First report,153.9,1.64782363939055,0.0
color_2,S10.color.2,low - low,First report,41.9,3.69612165666003,0.0
color_2,S10.color.2,low - low,First report,142.74,-11.5975258379607,0.0
color_2,S10.color.2,high - low,First report,176.19,19.803748404964,0.0
color_2,S10.color.2,low - high,First report,100.1,-13.706913259315,0.0
color_2,S10.color.2,low - low,First report,113.87,1.07414341288023,0.0
color_2,S10.color.2,high - high,First report,120.3,-19.3412321316059,0.0
color_2,S10.color.2,high - low,First report,140.36,13.3093501754949,0.0
color_2,S10.color.2,high - high,First report,170.09,-7.27261112129942,0.0
color_2,S10.color.2,high - low,First report,40.7,-66.0962756642903,1.0
color_2,S10.color.2,low - high,First report,106.29,16.0205718909945,0.0
color_2,S10.color.2,high - low,First report,110.78,-5.18129299017483,0.0
color_2,S10.color.2,low - low,First report,147.97,9.13766715384846,0.0
color_2,S10.color.2,high - high,First report,87.2799999999999,14.0485738354481,0.0
color_2,S10.color.2,low - low,First report,161.04,8.76123551591985,0.0
color_2,S10.color.2,high - high,First report,139.5,43.6394254158921,1.0
color_2,S10.color.2,low - low,First report,68.12,-26.3145121269633,0.0
color_2,S10.color.2,high - high,First report,81.52,2.16002085006877,0.0
color_2,S10.color.2,high - high,First report,52.71,-15.9154338100042,0.0
color_2,S10.color.2,low - high,First report,73.54,-13.4534251846502,0.0
color_2,S10.color.2,low - high,First report,42.49,-0.716003140130735,0.0
color_2,S10.color.2,high - low,First report,29.8399999999999,14.6927018829745,0.0
color_2,S10.color.2,low - high,First report,115.62,4.27007405964383,0.0
color_2,S10.color.2,low - high,First report,79.98,-8.41531371053487,0.0
color_2,S10.color.2,low - high,First report,56.21,-7.36265952159954,0.0
color_2,S10.color.2,low - high,First report,45.67,-24.3084945803463,0.0
color_2,S10.color.2,high - high,First report,157.67,35.4130559516369,0.0
color_2,S10.color.2,low - low,First report,16.53,-0.825282617055248,0.0
color_2,S10.color.2,high - low,First report,1.27,5.58998448761243,0.0
color_2,S10.color.2,low - high,First report,75.09,-3.71648115709562,0.0
color_2,S10.color.2,low - low,First report,94.11,8.50708105705587,0.0
color_2,S10.color.2,low - low,First report,0.509999999999968,1.22119013862283,0.0
color_2,S10.color.2,low - low,First report,30.6,-6.58585370522497,0.0
color_2,S10.color.2,high - low,First report,90.38,103.021921747905,1.0
color_2,S10.color.2,low - low,First report,177.8,-3.61771032885521,0.0
color_2,S10.color.2,high - low,First report,3.12000000000001,6.33072555918361,0.0
color_2,S10.color.2,high - high,First report,94.57,-13.732750023341,0.0
color_2,S10.color.2,low - high,First report,100.32,3.42375342605262,0.0
color_2,S10.color.2,low - high,First report,120.35,-3.26277501145063,0.0
color_2,S10.color.2,high - high,First report,154.85,-4.0961331044477,0.0
color_2,S10.color.2,high - low,First report,13.92,0.599187035395795,0.0
color_2,S10.color.2,high - high,First report,99.83,-23.5896059320126,0.0
color_2,S10.color.2,high - low,First report,96.38,-12.1357548859067,0.0
color_2,S10.color.2,low - low,First report,100.31,-16.5766444871896,0.0
color_2,S10.color.2,low - high,First report,154.16,-5.61242520143259,0.0
