machine_id,instance_id,gpu,price_per_hour,storage_rate_per_hour,all_in_hourly,expected_sph,real_sph,manifest_count,surface_count,timed_surface_count,span_hours,first_manifest_at,last_manifest_at,cost_per_1000_projected,projected_full_cost,expected_full_cost,real_over_expected_cost,surfaces_per_dollar,billed_cost,billed_cost_per_1000_completed
38253918-gpu0,38253918,RTX_3090,0.4389,0.0306,0.4695,756.0,577.3934285189296,18,790,750,1.2989410044444445,2026-05-28T14:37:11.680393+00:00,2026-05-28T15:55:07.868009+00:00,0.8131370687822224,26.67089585605689,20.36984126984127,1.3093325324800005,1229.8049595717348,0.632,0.8
38254781-gpu0,38254781,RTX_3090,0.3111,0.0306,0.3417,756.0,636.0346478327295,22,770,740,1.16345863,2026-05-28T14:47:53.251045+00:00,2026-05-28T15:57:41.702113+00:00,0.5372348836094595,17.621304182390272,14.825079365079365,1.1886144922702704,1861.3832245616904,0.41,0.5324675324675324
38256251-gpu0,38256251,RTX_3090,0.4511,0.0306,0.4817,756.0,435.19037171227103,9,400,350,0.8042457341666667,2026-05-28T15:05:28.868810+00:00,2026-05-28T15:53:44.153453+00:00,1.1068719147088095,36.30539880244896,20.89915343915344,1.7371707858,903.4468999631948,0.476,1.19
38256607-gpu0,38256607,RTX_3090,0.4089,0.0306,0.4395,756.0,488.2579711658358,12,440,390,0.7987580808333333,2026-05-28T15:09:32.180495+00:00,2026-05-28T15:57:27.709586+00:00,0.9001389141698718,29.524556384771795,19.06825396825397,1.5483618182307692,1110.9396386025842,0.39,0.8863636363636364
38257362-gpu0,38257362,RTX_3090,0.555,0.0306,0.5856,756.0,654.9146018387424,12,540,490,0.7481891511111111,2026-05-28T15:09:39.381027+00:00,2026-05-28T15:54:32.861971+00:00,0.8941623814095238,29.328526110232374,25.406984126984128,1.154348976,1118.3650987683443,0.522,0.9666666666666668
38261635-gpu0,38261635,RTX_3090,0.55,0.0306,0.5806,756.0,436.3395081110787,2,50,5,0.0114589669444444,2026-05-28T15:56:32.766636+00:00,2026-05-28T15:57:14.018917+00:00,1.330615241588889,43.64417992411556,25.19005291005291,1.732595802,751.5320497951752,0.119,2.38
38239940-gpu0,38239940,RTX_4090,0.8167,0.0306,0.8472999999999999,1141.0,769.65188278186,62,2615,2565,3.332675534722222,2026-05-28T12:37:20.709196+00:00,2026-05-28T15:57:18.341121+00:00,1.100887321859703,36.10910415699826,24.357090271691497,1.482488415250704,908.3581763033872,2.851,1.0902485659655832
38241241-gpu0,38241241,RTX_4090,1.0278,0.0306,1.0584,1141.0,840.1924062271471,32,1325,1280,1.5234605675,2026-05-28T12:52:09.270911+00:00,2026-05-28T14:23:33.728954+00:00,1.2597114567515626,41.318535781451246,30.425521472392635,1.3580222714980468,793.8325833589826,,
38245033-gpu0,38245033,RTX_4090,0.6833,0.0306,0.7139,1141.0,829.9614022218722,50,2155,2125,2.5603600291666666,2026-05-28T13:19:58.369986+00:00,2026-05-28T15:53:35.666091+00:00,0.8601604822692156,28.21326381843027,20.5222787028922,1.3747627262490194,1162.5737529372072,1.829,0.8487238979118329
38246931-gpu0,38246931,RTX_4090,0.9611,0.0306,0.9917,1141.0,959.3011200188124,52,2275,2235,2.3298211097222223,2026-05-28T13:34:42.668619+00:00,2026-05-28T15:54:30.024614+00:00,1.0337734203630995,33.90776818790967,28.508115687992987,1.189407555343649,967.3299586758216,2.354,1.0347252747252746
38250545-gpu0,38250545,RTX_4090,0.9444,0.0306,0.975,1141.0,585.2116356842249,23,975,930,1.5891686755555556,2026-05-28T14:11:21.462181+00:00,2026-05-28T15:46:42.469413+00:00,1.6660639340501793,54.64689703684588,28.028045574057845,1.9497219987192356,600.2170622402307,,
38253020-gpu0,38253020,RTX_4090,1.0222,0.0306,1.0528,1141.0,472.1763600529839,3,140,100,0.2117852744444444,2026-05-28T14:33:34.530982+00:00,2026-05-28T14:46:16.957970+00:00,2.229675369351111,73.13335211471643,30.26453987730061,2.4164699814111112,448.49578272509865,,
38254366-gpu0,38254366,RTX_4090,1.0222,0.0306,1.0528,1141.0,894.0544915559761,28,1185,1140,1.2750900652777777,2026-05-28T14:40:45.356231+00:00,2026-05-28T15:57:15.680466+00:00,1.1775568602846005,38.623865017334886,30.26453987730061,1.276208565335039,849.2158924353877,1.477,1.2464135021097047
38256602-gpu0,38256602,RTX_4090,1.0222,0.0306,1.0528,1141.0,885.2735809736901,23,855,815,0.9206193627777778,2026-05-28T15:02:15.569343+00:00,2026-05-28T15:57:29.799049+00:00,1.1892368897330603,39.00696998324439,30.26453987730061,1.288867107888889,840.8753618671069,1.111,1.2994152046783625
